Executable,Grid Size,MPI Ranks,Execution Time
jacobi-serial-fortran,100,1,1.318
jacobi-serial-fortran,100,2,1.315
jacobi-serial-fortran,100,4,1.354
jacobi-serial-fortran,100,6,1.436
jacobi-serial-fortran,100,8,1.505
jacobi-serial-fortran,100,12,1.575
jacobi-serial-fortran,100,16,1.619
jacobi-serial-fortran,100,20,1.597
jacobi-serial-fortran,100,24,1.593
jacobi-serial-fortran,100,28,1.671
jacobi-serial-fortran,100,32,1.725
jacobi-serial-fortran,200,1,13.577
jacobi-serial-fortran,200,2,13.536
jacobi-serial-fortran,200,4,13.982
jacobi-serial-fortran,200,6,13.931
jacobi-serial-fortran,200,8,14.327
jacobi-serial-fortran,200,12,14.602
jacobi-serial-fortran,200,16,14.939
jacobi-serial-fortran,200,20,14.967
jacobi-serial-fortran,200,24,14.937
jacobi-serial-fortran,200,28,14.982
jacobi-serial-fortran,200,32,14.863
jacobi-serial-fortran,300,1,53.420
jacobi-serial-fortran,300,2,53.448
jacobi-serial-fortran,300,4,55.092
jacobi-serial-fortran,300,6,54.905
jacobi-serial-fortran,300,8,56.054
jacobi-serial-fortran,300,12,57.002
jacobi-serial-fortran,300,16,58.262
jacobi-serial-fortran,300,20,58.416
jacobi-serial-fortran,300,24,58.270
jacobi-serial-fortran,300,28,58.162
jacobi-serial-fortran,300,32,58.366
jacobi-mpi-block-fortran,100,1,1.1769729820000001
jacobi-mpi-block-fortran,100,2,0.63830550200000002
jacobi-mpi-block-fortran,100,4,0.38685195500000003
jacobi-mpi-block-fortran,100,6,0.32836241199999999
jacobi-mpi-block-fortran,100,8,0.30882396899999998
jacobi-mpi-block-fortran,100,12,0.31624355900000001
jacobi-mpi-block-fortran,100,16,0.36680860000000004
jacobi-mpi-block-fortran,100,20,0.45735535299999996
jacobi-mpi-block-fortran,100,24,0.50385303900000000
jacobi-mpi-block-fortran,100,28,0.59226941399999999
jacobi-mpi-block-fortran,100,32,0.62088713799999995
jacobi-mpi-block-fortran,200,1,13.633390714000001
jacobi-mpi-block-fortran,200,2,6.9495463849999997
jacobi-mpi-block-fortran,200,4,3.7089491010000000
jacobi-mpi-block-fortran,200,6,2.7431893829999998
jacobi-mpi-block-fortran,200,8,2.2449086540000001
jacobi-mpi-block-fortran,200,12,1.8532045319999999
jacobi-mpi-block-fortran,200,16,1.8265947579999999
jacobi-mpi-block-fortran,200,20,1.8231202000000000
jacobi-mpi-block-fortran,200,24,1.9636390640000001
jacobi-mpi-block-fortran,200,28,2.0766296999999998
jacobi-mpi-block-fortran,200,32,2.3938814969999997
jacobi-mpi-block-fortran,300,1,54.376765657000000
jacobi-mpi-block-fortran,300,2,27.325309418000000
jacobi-mpi-block-fortran,300,4,14.208941692000000
jacobi-mpi-block-fortran,300,6,9.9908317279999999
jacobi-mpi-block-fortran,300,8,8.0707989619999996
jacobi-mpi-block-fortran,300,12,6.3471132360000002
jacobi-mpi-block-fortran,300,16,5.6135408599999996
jacobi-mpi-block-fortran,300,20,5.4339919820000002
jacobi-mpi-block-fortran,300,24,5.5246092830000002
jacobi-mpi-block-fortran,300,28,8.6395170340000007
jacobi-mpi-block-fortran,300,32,5.8764541299999999
jacobi-mpi-nonblock-fortran,100,1,1.2182377630000001
jacobi-mpi-nonblock-fortran,100,2,0.65755191999999996
jacobi-mpi-nonblock-fortran,100,4,0.37511795599999997
jacobi-mpi-nonblock-fortran,100,6,0.27687669300000001
jacobi-mpi-nonblock-fortran,100,8,0.23256016400000001
jacobi-mpi-nonblock-fortran,100,12,0.19254331000000000
jacobi-mpi-nonblock-fortran,100,16,0.17117278300000005
jacobi-mpi-nonblock-fortran,100,20,0.15314257500000000
jacobi-mpi-nonblock-fortran,100,24,0.16681645100000000
jacobi-mpi-nonblock-fortran,100,28,0.13997423000000001
jacobi-mpi-nonblock-fortran,100,32,0.16496670399999999
jacobi-mpi-nonblock-fortran,200,1,14.035278121999999
jacobi-mpi-nonblock-fortran,200,2,7.1503643270000001
jacobi-mpi-nonblock-fortran,200,4,3.7252141710000002
jacobi-mpi-nonblock-fortran,200,6,2.5857888409999998
jacobi-mpi-nonblock-fortran,200,8,2.0437122360000002
jacobi-mpi-nonblock-fortran,200,12,1.4662849790000001
jacobi-mpi-nonblock-fortran,200,16,1.1512480030000001
jacobi-mpi-nonblock-fortran,200,20,1.0031372340000000
jacobi-mpi-nonblock-fortran,200,24,0.90888717600000002
jacobi-mpi-nonblock-fortran,200,28,0.91548609299999995
jacobi-mpi-nonblock-fortran,200,32,0.77479142999999995
jacobi-mpi-nonblock-fortran,300,1,56.019883006000001
jacobi-mpi-nonblock-fortran,300,2,28.365780091000001
jacobi-mpi-nonblock-fortran,300,4,14.622231280999999
jacobi-mpi-nonblock-fortran,300,6,9.9232674200000002
jacobi-mpi-nonblock-fortran,300,8,7.7729919580000004
jacobi-mpi-nonblock-fortran,300,12,5.4344237270000004
jacobi-mpi-nonblock-fortran,300,16,4.1420372419999998
jacobi-mpi-nonblock-fortran,300,20,3.4897236739999999
jacobi-mpi-nonblock-fortran,300,24,3.0548495689999999
jacobi-mpi-nonblock-fortran,300,28,2.8783118950000000
jacobi-mpi-nonblock-fortran,300,32,2.5359315969999998
jacobi-mpi-sendrecv-fortran,100,1,1.1312427720000000
