Executable,Grid Size,MPI Ranks,Execution Time
jacobi-serial-fortran,100,1,1.294
jacobi-serial-fortran,100,2,1.404
jacobi-serial-fortran,100,4,1.450
jacobi-serial-fortran,100,6,1.518
jacobi-serial-fortran,100,8,1.558
jacobi-serial-fortran,100,12,1.665
jacobi-serial-fortran,100,16,1.773
jacobi-serial-fortran,200,1,13.541
jacobi-serial-fortran,200,2,13.589
jacobi-serial-fortran,200,4,13.688
jacobi-serial-fortran,200,6,13.783
jacobi-serial-fortran,200,8,13.750
jacobi-serial-fortran,200,12,13.853
jacobi-serial-fortran,200,16,13.973
jacobi-serial-fortran,300,1,53.344
jacobi-serial-fortran,300,2,53.393
jacobi-serial-fortran,300,4,53.435
jacobi-serial-fortran,300,6,53.549
jacobi-serial-fortran,300,8,53.701
jacobi-serial-fortran,300,12,53.635
jacobi-serial-fortran,300,16,54.207
jacobi-mpi-block-fortran,100,1,1.1769195670000001
jacobi-mpi-block-fortran,100,2,0.61352416500000007
jacobi-mpi-block-fortran,100,4,0.34797316099999998
jacobi-mpi-block-fortran,100,6,0.27993243999999995
jacobi-mpi-block-fortran,100,8,0.25112135000000002
jacobi-mpi-block-fortran,100,12,0.26393532099999995
jacobi-mpi-block-fortran,100,16,0.30962911799999998
jacobi-mpi-block-fortran,200,1,13.565265072000001
jacobi-mpi-block-fortran,200,2,6.8637720570000003
jacobi-mpi-block-fortran,200,4,3.5638040510000000
jacobi-mpi-block-fortran,200,6,2.5491990640000002
jacobi-mpi-block-fortran,200,8,2.0428472559999999
jacobi-mpi-block-fortran,200,12,1.6798251070000001
jacobi-mpi-block-fortran,200,16,1.5839348210000002
jacobi-mpi-block-fortran,300,1,54.541956912000003
jacobi-mpi-block-fortran,300,2,27.116605222000000
jacobi-mpi-block-fortran,300,4,13.848815229000000
jacobi-mpi-block-fortran,300,6,9.6452177429999999
jacobi-mpi-block-fortran,300,8,7.5661384959999998
jacobi-mpi-block-fortran,300,12,5.8075830699999997
jacobi-mpi-block-fortran,300,16,5.0672942680000004
jacobi-mpi-nonblock-fortran,100,1,1.2189957050000000
jacobi-mpi-nonblock-fortran,100,2,0.63438414899999995
jacobi-mpi-nonblock-fortran,100,4,0.34213344899999998
jacobi-mpi-nonblock-fortran,100,6,0.24534114200000001
jacobi-mpi-nonblock-fortran,100,8,0.20650755700000001
jacobi-mpi-nonblock-fortran,100,12,0.15760099899999999
jacobi-mpi-nonblock-fortran,100,16,0.16426564499999999
jacobi-mpi-nonblock-fortran,200,1,14.013525626000000
jacobi-mpi-nonblock-fortran,200,2,7.1649159200000003
jacobi-mpi-nonblock-fortran,200,4,3.6187050219999999
jacobi-mpi-nonblock-fortran,200,6,2.4953008049999998
jacobi-mpi-nonblock-fortran,200,8,1.9235981760000000
jacobi-mpi-nonblock-fortran,200,12,1.4046615469999999
jacobi-mpi-nonblock-fortran,200,16,1.1759322550000000
jacobi-mpi-nonblock-fortran,300,1,56.050654635000001
jacobi-mpi-nonblock-fortran,300,2,28.021796509000001
jacobi-mpi-nonblock-fortran,300,4,14.141880806000000
jacobi-mpi-nonblock-fortran,300,6,9.5873921150000001
jacobi-mpi-nonblock-fortran,300,8,7.4075323199999996
jacobi-mpi-nonblock-fortran,300,12,5.1667487669999996
jacobi-mpi-nonblock-fortran,300,16,4.0728580000000001
jacobi-mpi-sendrecv-fortran,100,1,1.1312471350000000
jacobi-mpi-sendrecv-fortran,100,2,0.59008348500000007
jacobi-mpi-sendrecv-fortran,100,4,0.33532707499999997
jacobi-mpi-sendrecv-fortran,100,6,0.27147092600000000
jacobi-mpi-sendrecv-fortran,100,8,0.25264386700000002
jacobi-mpi-sendrecv-fortran,100,12,0.28876558400000002
jacobi-mpi-sendrecv-fortran,100,16,0.31637901700000004
jacobi-mpi-sendrecv-fortran,200,1,13.154534002000000
jacobi-mpi-sendrecv-fortran,200,2,6.6513288709999996
jacobi-mpi-sendrecv-fortran,200,4,3.5446622570000001
jacobi-mpi-sendrecv-fortran,200,6,2.4551320410000002
jacobi-mpi-sendrecv-fortran,200,8,1.9986064109999999
jacobi-mpi-sendrecv-fortran,200,12,1.6842593859999999
jacobi-mpi-sendrecv-fortran,200,16,1.6055463639999998
jacobi-mpi-sendrecv-fortran,300,1,52.740566635000000
jacobi-mpi-sendrecv-fortran,300,2,26.339174948000000
jacobi-mpi-sendrecv-fortran,300,4,13.600805856999999
jacobi-mpi-sendrecv-fortran,300,6,9.3341954240000007
jacobi-mpi-sendrecv-fortran,300,8,7.3211791230000003
jacobi-mpi-sendrecv-fortran,300,12,5.7397765720000002
jacobi-mpi-sendrecv-fortran,300,16,5.1489983590000001
